COD_COMUNA_JOIN,VACUNA_DASHBOARD,CLAVE_DENOMINADOR,VACUNAS_ADMINISTRADAS
13114,VACUNA VARICELA 1RA DOSIS,Cohorte_18M,2901
13114,VACUNA VARICELA 2DA DOSIS,Cohorte_36M,2503
13114,VACUNA VPH 4 BASICO,VPH_4basico,2517
13114,VACUNA VPH 5 BASICO,VPH_5basico,2334
13115,VACUNA BCG,BCG_RN,908
13115,VACUNA DTPA 1 BASICO,dTpa_1basico,1250
13115,VACUNA DTPA 8 BASICO,dTpa_8basico,1397
13115,VACUNA DTPA GESTANTES,dTpa_Gestantes,853
13115,VACUNA HEPATITIS A PEDIATRICA,Cohorte_18M,1036
13115,VACUNA HEPATITIS B RN,HepB_RN,850
13115,VACUNA HEXAVALENTE 1RA DOSIS,Cohorte_2M,991
13115,VACUNA HEXAVALENTE 2DA DOSIS,Cohorte_4M,962
13115,VACUNA HEXAVALENTE 3RA DOSIS,Hexavalente_3d_6m,1018
13115,VACUNA HEXAVALENTE REFUERZO,Hexavalente_ref_18m,1106
13115,VACUNA MENINGOCOCICA CONJUGADA DOSIS UNICA,Cohorte_12M,1099
13115,VACUNA MENINGOCOCICA RECOMBINANTE 1RA DOSIS,Cohorte_2M,1023
13115,VACUNA MENINGOCOCICA RECOMBINANTE 2DA DOSIS,Cohorte_4M,986
13115,VACUNA MENINGOCOCICA RECOMBINANTE REFUERZO,Cohorte_18M,268
13115,VACUNA NEUMOCOCICA CONJUGADA 1RA DOSIS,Cohorte_2M,987
